#     FILENAME=Skynet_60333_barnard_33-nb_107271_56634.A.spect.cal.txt
#     BASENAME=Skynet_60333_barnard_33-nb_107271_56634
#      CONTROL=SKYNET
#     PROJCODE=Skynet_60333_barnard_33-nb_107271
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_60333_barnard_33-nb_1072
#     SCANNAME=2019_06_26_10
#     SRC_NAME=barnard_33-nb
#     OBSERVER=socamrad_21318
#     DATE_OBS=2024-01-24T03:19:52.000
#        OBSID=107271
#      SCANNUM=56634
#          MJD=60333.1387963
#          UTC=11992
#     SCANTYPE=ralongmap
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1395.0000
# Actual_FREQ1=1421.8850,
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.2600
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.1342
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=176.09
#     EXPOSURE=118.38
#        FOCUS=37.049
#       RA,DEC=05:32:14.91, -04:40:06.56
#      RA(deg)=85.17580
#     DEC(deg)=-2.44630
#   WIDTH(deg)=4.4307x4.8706
#    AZIM(deg)=191.5431
#    ELEV(deg)=48.3010
#     COORDREF=RA_DEC_
#         HREF=85.2454
#         VREF=-2.4583
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=11.00, 12.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.72, 2.23] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=289 
#      BOXTEMP=23 
#         TSYS=XX1:134.40, YY1:135.12
#         TSYS=XX2:121.55, YY2:146.84
#         TCAL=XX1:9.17, YY1:10.07
#         TCAL=XX2:9.16, YY2:9.99
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1428.91930      71.2961      62.0859    1413.29430      65.5928      91.8792
   1428.90404      71.7182      62.2927    1413.27904      65.9440      92.1992
   1428.88878      71.9612      62.5442    1413.26378      66.0869      92.7150
   1428.87353      72.2809      62.7427    1413.24853      66.4360      93.0642
   1428.85827      72.6296      62.9157    1413.23327      66.7782      93.4811
   1428.84301      73.0632      63.0219    1413.21801      67.0422      94.0131
   1428.82775      73.3733      63.3091    1413.20275      67.2883      94.4261
   1428.81249      73.7384      63.5709    1413.18749      67.6439      94.7969
   1428.79723      74.0626      63.8477    1413.17223      67.9498      95.3002
   1428.78197      74.5129      64.1315    1413.15697      68.1186      95.8797
   1428.76671      74.8228      64.2281    1413.14171      68.4562      96.2641
   1428.75146      75.2281      64.5985    1413.12646      68.9382      96.8031
   1428.73620      75.6890      64.9309    1413.11120      69.2774      97.2341
   1428.72094      76.1385      65.1520    1413.09594      69.5468      97.8355
   1428.70568      76.4369      65.3340    1413.08068      69.8227      98.4249
   1428.69042      76.7758      65.6300    1413.06542      70.2726      98.7782
   1428.67516      77.2769      65.9739    1413.05016      70.5292      99.4755
   1428.65990      77.5494      66.2729    1413.03490      70.9650      99.8012
   1428.64464      78.0180      66.5530    1413.01964      71.2900     100.5029
   1428.62938      78.4885      66.7791    1413.00438      71.6957     100.8619
   1428.61413      78.8917      67.1219    1412.98913      72.1314     101.5633
   1428.59887      79.2119      67.4061    1412.97387      72.4428     102.1122
   1428.58361      79.7285      67.8286    1412.95861      72.8706     102.5689
   1428.56835      79.9938      68.1860    1412.94335      73.1682     103.2264
   1428.55309      80.4755      68.4427    1412.92809      73.4693     103.8373
   1428.53783      80.9105      68.6779    1412.91283      73.9973     104.4728
   1428.52257      81.2719      69.0551    1412.89757      74.4923     105.0571
   1428.50731      81.7993      69.4419    1412.88231      74.8154     105.4420
   1428.49206      82.2732      69.8660    1412.86706      75.1672     106.2827
   1428.47680      82.6381      70.1316    1412.85180      75.6831     106.8382
   1428.46154      83.0787      70.3846    1412.83654      76.0711     107.5107
   1428.44628      83.4231      70.9006    1412.82128      76.3302     108.0601
   1428.43102      83.8988      71.2155    1412.80602      76.8546     108.6388
   1428.41576      84.3960      71.4956    1412.79076      77.2793     109.1336
   1428.40050      84.7776      71.8686    1412.77550      77.7189     109.8632
   1428.38524      85.2145      72.3555    1412.76024      78.1019     110.3742
   1428.36999      85.6354      72.6003    1412.74499      78.4098     110.9836
   1428.35473      86.0971      72.9850    1412.72973      78.9888     111.7095
   1428.33947      86.5610      73.3228    1412.71447      79.4214     112.2503
   1428.32421      86.9707      73.6776    1412.69921      79.7361     112.9421
   1428.30895      87.3481      74.1704    1412.68395      80.1691     113.5009
   1428.29369      87.9146      74.4592    1412.66869      80.7199     114.1654
   1428.27843      88.1358      74.8722    1412.65343      81.0447     114.8945
   1428.26317      88.7642      75.2098    1412.63817      81.4260     115.6082
   1428.24792      89.1572      75.6063    1412.62292      82.0538     116.1857
   1428.23266      89.5557      76.0156    1412.60766      82.4595     116.7160
   1428.21740      89.9110      76.4931    1412.59240      82.9448     117.4481
   1428.20214      90.4597      76.7400    1412.57714      83.3290     117.9749
   1428.18688      91.0063      77.1966    1412.56188      83.7823     118.6470
   1428.17162      91.3303      77.5774    1412.54662      84.2916     119.4910
   1428.15636      91.8976      77.9874    1412.53136      84.7113     120.0858
   1428.14110      92.1272      78.3629    1412.51610      85.0423     120.7630
   1428.12584      92.5210      78.8254    1412.50084      85.4498     121.4223
   1428.11059      92.9455      79.2257    1412.48559      85.8198     121.8139
   1428.09533      93.5291      79.6129    1412.47033      86.4192     122.5367
   1428.08007      93.8310      80.0184    1412.45507      86.7316     123.1975
   1428.06481      94.4802      80.3307    1412.43981      87.2215     123.7846
   1428.04955      94.7030      80.7142    1412.42455      87.6488     124.4364
   1428.03429      95.1038      81.2032    1412.40929      88.2358     125.0369
   1428.01903      95.4886      81.6240    1412.39403      88.6874     125.6440
   1428.00377      95.8871      81.9605    1412.37877      89.1201     126.3103
   1427.98852      96.3588      82.4804    1412.36352      89.5901     126.8134
   1427.97326      96.7128      82.8147    1412.34826      89.9706     127.5872
   1427.95800      97.0598      83.3786    1412.33300      90.2671     128.2207
   1427.94274      97.5463      83.6998    1412.31774      90.8045     128.8426
   1427.92748      97.9973      84.1967    1412.30248      91.3144     129.4667
   1427.91222      98.3163      84.5148    1412.28722      91.6590     130.2457
   1427.89696      98.6972      84.9186    1412.27196      92.1750     130.4741
   1427.88170      99.1293      85.4651    1412.25670      92.5079     131.3528
   1427.86645      99.5499      85.7395    1412.24145      92.8851     131.8792
   1427.85119     100.1380      86.1592    1412.22619      93.2805     132.4904
   1427.83593     100.3642      86.6528    1412.21093      93.8007     133.1706
   1427.82067     100.7773      86.8535    1412.19567      94.2090     133.8517
   1427.80541     100.9947      87.3143    1412.18041      94.6803     134.3022
   1427.79015     101.5353      87.8923    1412.16515      95.0981     134.9848
   1427.77489     101.8326      88.1659    1412.14989      95.4383     135.5565
   1427.75963     102.2850      88.5644    1412.13463      95.9772     136.1793
   1427.74437     102.6837      88.9746    1412.11937      96.3167     136.5669
   1427.72912     102.9442      89.3641    1412.10412      96.6872     137.1544
   1427.71386     103.2053      89.7579    1412.08886      97.2299     137.8275
   1427.69860     103.6278      90.1799    1412.07360      97.5812     138.4598
   1427.68334     103.9100      90.6662    1412.05834      98.0651     139.1080
   1427.66808     104.3458      90.9524    1412.04308      98.4105     139.6514
   1427.65282     104.7472      91.3186    1412.02782      98.9762     140.0084
   1427.63756     105.1215      91.8402    1412.01256      99.2206     140.9047
   1427.62230     105.3179      92.1383    1411.99730      99.7006     141.2942
   1427.60705     105.6632      92.7113    1411.98205     100.0042     141.7904
   1427.59179     106.1710      92.9456    1411.96679     100.3899     142.4475
   1427.57653     106.3442      93.2816    1411.95153     100.8280     142.6694
