#     FILENAME=!/raid/scratch/cyborg/SkynetData/Skynet_60333_barnard_33-nb_107271/Cyborg/Skynet_60333_barnard_33-nb_107271_56634.cyb.fits
#     BASENAME=Skynet_60333_barnard_33-nb_107271_56634
#      CONTROL=SKYNET
#     PROJCODE=Skynet_60333_barnard_33-nb_107271
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=Skynet_60333_barnard_33-nb_107271/Cyborg
#     SCANNAME=2019_06_26_10
#     SRC_NAME=barnard_33-nb
#     OBSERVER=socamrad_21318
#     DATE_OBS=2024-01-24T03:19:52.000
#        OBSID=107271
#      SCANNUM=56634
#          MJD=60333.1408
#          UTC=12168
#     SCANTYPE=ralongmap
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#     TUNEFREQ=1406.2600
# Actual_FREQ1=1421.8850
# Actual_FREQ2=1406.2600
#    LO1Tuning=6856.260
#     RFFILTER=1355_1435
#        OBSBW=-15.6250
#        NCHAN=1024 
#    STARTCHAN=51 
#     STOPCHAN=972 
#         TAVE=0.1470
#         TBIN=0.00000000
#       ACCLEN=0.00000000
#        FOCUS=37.0489
#       RA,DEC=05:32:14.91, -04:40:06.56 
#      RA(hrs)=5.537480
#     DEC(deg)=-4.668490
#    AZIM(deg)=193.492
#    ELEV(deg)=45.838
#     COORDREF=RA_DEC_
#         HREF=85.245400
#         VREF=-2.458300
#      RADESYS=FK5
#       OFFSYS=AZEL
#      EQUINOX=2000.00
#     IFATTENS=11.00, 12.00
#   BALANCELEV=1.200
#   POWER_XLYR=1.724, 2.231
#       VELDEF=RADI-OBS
#     VELOCITY=0.000
#         NPOL=2
#      POLMODE=Linear
#      POLTYPE=
#      WARNING=None
#     CRYOTEMP=289
#      BOXTEMP=23
#     NOISECAL=HI
#       PRECAL=2
#      POSTCAL=2
#    TCAL_XL1=9.1665
#    TCAL_YR1=10.0295
#    TCAL_XL2=9.1530
#    TCAL_YR2=9.9400
#     TRX_XL1=7.4595
#     TRX_YR1=7.4595
#     TRX_XL2=8.0030
#     TRX_YR2=8.0030
#Freq1(MHz)          XL1          YR1  Freq2(MHz)          XL2          YR2 
   1429.69750     120.0478     128.2220   1414.07250     156.2025     194.5761
   1429.68224     120.0640     127.7508   1414.05724     155.9914     194.3284
   1429.66698     119.8621     127.3918   1414.04198     155.4381     193.7336
   1429.65172     119.8229     126.9570   1414.02672     155.2449     193.5123
   1429.63646     119.7581     126.4447   1414.01146     154.9590     193.1393
   1429.62121     119.7647     126.0176   1413.99621     154.7543     192.8947
   1429.60595     119.7494     125.7510   1413.98095     154.4958     192.2308
   1429.59069     119.7635     125.3554   1413.96569     153.9995     192.4154
   1429.57543     119.8484     125.0763   1413.95043     153.8198     191.9332
   1429.56017     119.8921     124.8370   1413.93517     153.6265     191.6843
   1429.54491     119.9750     124.5342   1413.91991     153.5585     191.7299
   1429.52965     119.9559     124.2965   1413.90465     153.4490     191.6378
   1429.51439     120.0548     124.0000   1413.88939     153.2341     191.5526
   1429.49914     120.1164     123.7668   1413.87414     153.2574     191.6043
   1429.48388     120.3400     123.5795   1413.85888     153.2189     191.4385
   1429.46862     120.4049     123.2579   1413.84362     153.0334     191.3413
   1429.45336     120.5319     122.9751   1413.82836     152.9419     191.1970
   1429.43810     120.6921     122.9244   1413.81310     152.9412     191.1284
   1429.42284     121.0073     122.7271   1413.79784     153.1531     191.3583
   1429.40758     121.1632     122.6012   1413.78258     152.8387     191.5171
   1429.39232     121.3209     122.5417   1413.76732     153.0090     191.5918
   1429.37707     121.5346     122.4135   1413.75207     153.1275     191.6025
   1429.36181     121.8546     122.3130   1413.73681     153.2886     191.8405
   1429.34655     122.2024     122.3408   1413.72155     153.3639     191.9306
   1429.33129     122.4676     122.2844   1413.70629     153.5138     192.1312
   1429.31603     122.6885     122.0353   1413.69103     153.5925     192.3926
   1429.30077     122.9294     122.2214   1413.67577     153.7246     192.8456
   1429.28551     123.2993     122.1348   1413.66051     153.9603     193.1262
   1429.27025     123.6955     122.1991   1413.64525     154.1569     193.4878
   1429.25500     123.9267     122.2254   1413.63000     154.4304     193.7341
   1429.23974     124.2965     122.2263   1413.61474     154.7059     194.1350
   1429.22448     124.8759     122.3936   1413.59948     155.0379     194.7594
   1429.20922     125.0998     122.5832   1413.58422     155.3717     195.2325
   1429.19396     125.5546     122.6067   1413.56896     155.4446     195.0895
   1429.17870     126.0982     122.7380   1413.55370     156.0273     196.0372
   1429.16344     126.4571     122.9811   1413.53844     156.3182     196.6889
   1429.14818     126.8659     123.0102   1413.52318     156.5535     196.9929
   1429.13292     127.3358     123.1589   1413.50792     156.9825     197.7036
   1429.11767     127.9000     123.3687   1413.49267     157.4839     198.3047
   1429.10241     128.2496     123.5817   1413.47741     157.8995     198.7899
   1429.08715     128.9207     123.7466   1413.46215     158.3864     199.4863
   1429.07189     129.3602     124.0551   1413.44689     159.0957     200.2349
   1429.05663     129.8879     124.4017   1413.43163     159.4094     200.5706
   1429.04137     130.4543     124.6173   1413.41637     159.8414     201.5843
   1429.02611     130.9915     124.7628   1413.40111     160.5584     202.4961
   1429.01085     131.6063     125.1475   1413.38585     160.9162     203.1235
   1428.99560     132.0077     125.4438   1413.37060     161.5036     203.9211
   1428.98034     132.7402     125.7609   1413.35534     162.1844     204.6399
   1428.96508     133.2273     126.3199   1413.34008     162.8501     205.8154
   1428.94982     133.9311     126.5186   1413.32482     163.4024     206.6243
   1428.93456     134.5844     126.8789   1413.30956     164.0772     207.3255
   1428.91930     135.1791     127.2469   1413.29430     164.7231     208.5508
   1428.90404     135.8415     127.6983   1413.27904     165.5061     209.2840
   1428.88878     136.4285     128.1451   1413.26378     165.9520     210.3932
   1428.87353     136.9114     128.6020   1413.24853     166.6973     211.1814
   1428.85827     137.5367     128.8907   1413.23327     167.5917     212.1865
   1428.84301     138.3969     129.2641   1413.21801     168.4481     213.2335
   1428.82775     139.0714     129.9101   1413.20275     168.9766     214.2081
   1428.81249     139.7911     130.3617   1413.18749     169.8015     215.2023
   1428.79723     140.4765     130.8837   1413.17223     170.6475     216.2682
   1428.78197     141.1696     131.4412   1413.15697     171.1260     217.4776
   1428.76671     141.8816     131.7645   1413.14171     172.0636     218.3713
   1428.75146     142.5985     132.4558   1413.12646     173.1897     219.6142
   1428.73620     143.3925     133.0146   1413.11120     173.9052     220.6236
   1428.72094     144.1935     133.5876   1413.09594     174.6203     222.0628
   1428.70568     144.8136     134.0283   1413.08068     175.4508     223.1640
   1428.69042     145.4848     134.5166   1413.06542     176.3756     224.0668
   1428.67516     146.3787     135.1018   1413.05016     177.1397     225.6388
   1428.65990     147.0055     135.7356   1413.03490     178.2252     226.5298
   1428.64464     147.9077     136.4337   1413.01964     179.0369     227.9186
   1428.62938     148.6890     136.8631   1413.00438     179.9359     228.9210
   1428.61413     149.3322     137.6039   1412.98913     181.0299     230.4789
   1428.59887     150.2534     138.1351   1412.97387     181.8732     231.9084
   1428.58361     151.0772     139.0100   1412.95861     182.8742     232.7829
   1428.56835     151.7468     139.7842   1412.94335     183.8286     234.3549
   1428.55309     152.5315     140.3204   1412.92809     184.6022     235.5540
   1428.53783     153.3513     140.8924   1412.91283     185.8638     236.9092
   1428.52257     154.0326     141.5636   1412.89757     186.9543     238.2718
   1428.50731     155.0244     142.3428   1412.88231     187.8984     239.4124
   1428.49206     155.8798     143.1651   1412.86706     188.7902     241.0884
   1428.47680     156.6117     143.8091   1412.85180     190.0040     242.2864
   1428.46154     157.4746     144.3147   1412.83654     190.9906     243.8102
   1428.44628     158.1272     145.2490   1412.82128     191.7365     245.2401
   1428.43102     159.0310     145.9650   1412.80602     193.1273     246.5116
   1428.41576     159.8800     146.6096   1412.79076     194.0328     247.5956
   1428.40050     160.6480     147.2540   1412.77550     195.1012     249.2336
   1428.38524     161.4724     148.1996   1412.76024     196.1644     250.4508
   1428.36999     162.3244     148.8105   1412.74499     196.8783     251.8220
   1428.35473     163.0928     149.5689   1412.72973     198.3754     253.4779
   1428.33947     163.8357     150.3120   1412.71447     199.4474     254.7611
   1428.32421     164.8285     151.0948   1412.69921     200.2683     256.1973
   1428.30895     165.6309     151.9977   1412.68395     201.3367     257.6298
   1428.29369     166.4567     152.6441   1412.66869     202.6120     259.0238
   1428.27843     167.0770     153.5739   1412.65343     203.5929     260.7388
   1428.26317     168.1862     154.2217   1412.63817     204.5936     262.2267
   1428.24792     168.9977     155.0216   1412.62292     205.9421     263.6562
   1428.23266     169.6528     155.9015   1412.60766     206.8992     264.5689
   1428.21740     170.5995     156.7003   1412.59240     208.2464     266.3623
   1428.20214     171.4994     157.4198   1412.57714     209.2083     267.7126
   1428.18688     172.4644     158.2160   1412.56188     210.1820     269.1674
   1428.17162     172.9106     159.0587   1412.54662     211.5232     270.9933
   1428.15636     173.9967     159.9439   1412.53136     212.7382     272.3131
   1428.14110     174.6380     160.7530   1412.51610     213.6199     273.7032
   1428.12584     175.3082     161.5586   1412.50084     214.6017     275.3914
   1428.11059     176.2134     162.3326   1412.48559     215.5872     276.5875
   1428.09533     177.2975     163.1776   1412.47033     216.9906     278.1148
   1428.08007     177.7549     163.9637   1412.45507     217.8455     279.5715
   1428.06481     178.9563     164.7265   1412.43981     219.1807     280.8377
   1428.04955     179.4983     165.4795   1412.42455     220.2124     282.4313
   1428.03429     180.3269     166.4252   1412.40929     221.5557     283.7124
   1428.01903     180.9769     167.3436   1412.39403     222.6270     285.2777
   1428.00377     181.7575     168.0625   1412.37877     223.5655     286.5575
   1427.98852     182.5886     169.0747   1412.36352     224.8263     287.9213
   1427.97326     183.3055     169.8471   1412.34826     225.7845     289.3282
   1427.95800     183.9977     170.8820   1412.33300     226.7419     290.9426
   1427.94274     184.8335     171.6019   1412.31774     228.0552     292.3050
   1427.92748     185.6488     172.6356   1412.30248     229.0947     293.7208
   1427.91222     186.2696     173.3013   1412.28722     230.2608     295.3388
   1427.89696     187.1194     173.9679   1412.27196     231.4043     295.9434
   1427.88170     187.9753     175.1961   1412.25670     232.3515     298.0100
   1427.86645     188.6282     175.8072   1412.24145     233.2829     299.2370
   1427.85119     189.6324     176.6456   1412.22619     234.3506     300.6320
   1427.83593     190.1149     177.5045   1412.21093     235.6764     302.2458
   1427.82067     191.0365     178.2017   1412.19567     236.5988     303.7184
   1427.80541     191.3782     178.9577   1412.18041     237.7202     304.5862
   1427.79015     192.4030     180.0685   1412.16515     238.9193     306.3105
   1427.77489     192.9643     180.6776   1412.14989     239.7684     307.4841
   1427.75963     193.7320     181.5899   1412.13463     240.9648     308.8774
   1427.74437     194.5271     182.4242   1412.11937     241.8207     310.0243
   1427.72912     195.1637     183.2410   1412.10412     242.9263     311.2996
   1427.71386     195.6601     183.9901   1412.08886     244.2450     312.7298
   1427.69860     196.3780     184.9234   1412.07360     245.1130     314.1403
   1427.68334     196.9404     186.0229   1412.05834     246.1540     315.5687
   1427.66808     197.7677     186.5330   1412.04308     247.0170     316.8422
   1427.65282     198.5828     187.2355   1412.02782     248.4601     317.6727
   1427.63756     199.2269     188.2386   1412.01256     249.2602     319.4173
   1427.62230     199.6825     188.7728   1411.99730     250.3038     320.4425
   1427.60705     200.2941     189.9087   1411.98205     251.2238     321.5202
   1427.59179     201.1743     190.5642   1411.96679     252.2088     322.9227
   1427.57653     201.5289     191.2615   1411.95153     253.1871     323.7462
   1427.56127     202.1279     192.0714   1411.93627     254.3934     325.5487
   1427.54601     202.6800     192.8113   1411.92101     255.1987     326.3286
   1427.53075     203.2715     193.8696   1411.90575     256.0015     327.8065
   1427.51549     203.7455     194.7616   1411.89049     257.0597     328.7651
   1427.50023     204.7350     195.3971   1411.87523     257.9212     329.9244
   1427.48498     205.1851     196.1425   1411.85998     258.8135     331.3699
   1427.46972     205.5150     196.9106   1411.84472     259.6800     332.1301
   1427.45446     206.0481     197.7193   1411.82946     260.9002     332.7635
   1427.43920     206.7572     198.4265   1411.81420     261.8517     334.2122
   1427.42394     207.3225     199.0110   1411.79894     262.9502     335.0190
   1427.40868     207.7414     199.7903   1411.78368     263.7563     336.3962
   1427.39342     208.3436     200.6513   1411.76842     264.4647     337.4257
   1427.37816     208.7749     201.3409   1411.75316     265.4160     338.7351
   1427.36291     209.2022     202.3452   1411.73791     266.3864     339.2868
   1427.34765     209.8610     202.7733   1411.72265     267.3893     340.6786
   1427.33239     210.3419     203.8777   1411.70739     268.5475     341.3536
   1427.31713     210.9464     204.5381   1411.69213     268.9186     342.6936
   1427.30187     211.0940     204.9734   1411.67687     270.0158     343.5650
   1427.28661     211.6268     205.8391   1411.66161     270.8472     344.1130
   1427.27135     212.0749     206.5490   1411.64635     271.4857     345.2134
   1427.25609     212.6732     207.5226   1411.63109     272.3405     346.7422
   1427.24083     213.1960     208.0522   1411.61583     273.2996     346.9945
   1427.22558     213.5740     208.9872   1411.60058     274.3375     347.8821
   1427.21032     213.9310     209.4362   1411.58532     275.0955     349.1422
   1427.19506     214.5821     210.3154   1411.57006     275.6587     350.2548
   1427.17980     215.0034     210.8833   1411.55480     276.5328     350.6660
   1427.16454     215.2774     211.8969   1411.53954     277.2229     351.7884
   1427.14928     215.8109     212.2986   1411.52428     277.9767     351.9834
   1427.13402     216.0635     213.0720   1411.50902     279.0074     352.9351
   1427.11876     216.5377     213.6085   1411.49376     279.7970     354.2220
   1427.10351     216.8020     214.4350   1411.47851     280.3831     354.7276
   1427.08825     217.3748     215.2610   1411.46325     281.2590     355.7445
   1427.07299     217.5809     215.7310   1411.44799     281.8212     356.8187
   1427.05773     217.9756     216.4821   1411.43273     282.6959     357.3672
   1427.04247     218.2651     216.9786   1411.41747     283.2489     357.7434
   1427.02721     218.5637     217.7191   1411.40221     283.8880     358.9207
   1427.01195     218.9912     218.2319   1411.38695     284.6513     359.2103
   1426.99669     219.4330     218.9993   1411.37169     285.1281     360.1248
   1426.98144     219.8839     219.5911   1411.35644     286.1837     360.6508
   1426.96618     220.1539     220.1385   1411.34118     286.6751     361.8710
   1426.95092     220.2632     221.2283   1411.32592     287.3165     362.3365
   1426.93566     220.4727     221.6574   1411.31066     288.0410     362.8580
   1426.92040     220.8165     222.3014   1411.29540     289.0669     363.9606
   1426.90514     221.2054     222.8258   1411.28014     289.5391     364.1402
   1426.88988     221.1710     223.5155   1411.26488     290.0622     364.6929
   1426.87462     221.7680     224.3202   1411.24962     290.7892     365.2239
   1426.85937     222.4036     224.6444   1411.23437     291.2972     365.6938
   1426.84411     222.4978     225.3157   1411.21911     292.0105     366.6984
   1426.82885     222.7583     226.0911   1411.20385     292.7628     366.6363
   1426.81359     222.9999     226.3877   1411.18859     293.3785     367.6113
   1426.79833     222.9652     227.1947   1411.17333     293.8406     367.9644
   1426.78307     223.2115     227.6769   1411.15807     294.7438     368.5914
   1426.76781     224.0340     228.3400   1411.14281     295.2176     369.4582
   1426.75255     223.8248     229.0827   1411.12755     295.7437     369.9390
   1426.73729     224.2643     229.5176   1411.11229     296.0220     370.2881
   1426.72204     224.4574     229.9218   1411.09704     296.7737     370.2820
   1426.70678     224.8067     230.7647   1411.08178     297.3469     371.4493
   1426.69152     224.9983     231.2030   1411.06652     297.7997     371.5979
   1426.67626     225.1306     231.8501   1411.05126     298.3926     371.7794
   1426.66100     225.4701     232.2857   1411.03600     299.0249     372.1232
   1426.64574     225.5508     233.0244   1411.02074     299.6402     372.5534
   1426.63048     225.9632     233.9215   1411.00548     300.0760     373.2620
   1426.61522     226.3042     234.1728   1410.99022     300.6402     373.8452
   1426.59997     226.1954     234.4216   1410.97497     300.6566     373.6398
   1426.58471     226.7835     235.4347   1410.95971     301.5188     374.4547
   1426.56945     226.6016     235.7326   1410.94445     302.1564     374.8676
   1426.55419     226.8445     236.1836   1410.92919     302.7866     374.9624
   1426.53893     227.1569     236.7056   1410.91393     302.9809     375.4823
   1426.52367     227.0023     237.3154   1410.89867     303.7446     375.9286
   1426.50841     227.2448     237.9692   1410.88341     303.9519     375.8214
   1426.49315     227.4517     238.5471   1410.86815     304.5344     376.4970
   1426.47790     227.6954     238.9200   1410.85290     304.6068     377.0474
   1426.46264     227.8914     239.4341   1410.83764     305.4716     376.9199
   1426.44738     228.0774     240.1021   1410.82238     306.1389     376.9492
   1426.43212     228.2433     240.5523   1410.80712     306.2687     377.5222
   1426.41686     228.5446     241.1743   1410.79186     307.0536     377.9374
   1426.40160     228.3653     241.4619   1410.77660     307.2711     377.8644
   1426.38634     228.6682     241.9839   1410.76134     307.6457     378.2665
   1426.37108     228.8024     242.5845   1410.74608     308.2530     378.8677
