#     FILENAME=Skynet_59735_AP_-_ST3_81159_29887.A.spect.cal.txt
#     BASENAME=Skynet_59735_AP_-_ST3_81159_29887
#      CONTROL=SKYNET
#     PROJCODE=Skynet_59735_AP_-_ST3_81159
#     DATAROOT=/raid/scratch/cyborg/SkynetData
#      DATADIR=/raid/scratch/cyborg
#     DATADIR2=/raid/scratch/cyborg/SkynetData/Skynet_59735_AP_-_ST3_81159/Cyb
#     SCANNAME=2022_05_26_22
#     SRC_NAME=AP_-_ST3
#     OBSERVER=socamrad_21318
#     DATE_OBS=2022-06-05T19:37:56.450
#        OBSID=81159
#      SCANNUM=29887
#          MJD=59735.8180145
#          UTC=70676
#     SCANTYPE=ralongmap
#     DATAMODE=HIRES
#     RECEIVER=Rx1_2
#      OBSFREQ=1421.8800
# Actual_FREQ1=1550.0000,
# Actual_FREQ2=1425.0000
#    LO1Tuning=6937.5000
#     RFFILTER=1300_1800
#        OBSBW=-15.6250
#     EFFBANDW=15.6250
#        NCHAN=1024
#    STARTCHAN=51
#     STOPCHAN=972
#         TINT=0.3000
#         TBIN=0.00419430
#       ACCLEN=2048 
#     DURATION=147.00
#     EXPOSURE=98.39
#        FOCUS=37.071
#       RA,DEC=05:30:44.34, 17:17:45.36
#      RA(deg)=85.44407
#     DEC(deg)=19.98307
#   WIDTH(deg)=5.6474x5.8823
#    AZIM(deg)=233.7448
#    ELEV(deg)=62.4715
#     COORDREF=RA_DEC_
#         HREF=85.5000
#         VREF=20.0000
#      RADESYS=FK5
#       OFFSYS=RADEC
#      EQUINOX=2000.00
#     IFATTENS=16.00, 19.00
#   BALANCELEV=1.200 
#   POWER_XLYR=[1.07, 1.38] 
#       VELDEF=RADI-OBS 
#     VELOCITY=0.000 
#         NPOL=2 
#      POLMODE=Linear 
#      POLTYPE=XXYY 
#      WARNING=None 
#     NOISECAL=HI 
#       PRECAL=2 
#      POSTCAL=2 
#     CRYOTEMP=15 
#      BOXTEMP=23 
#         TSYS=XX1:204.96, YY1:158.48
#         TSYS=XX2:37.86, YY2:51.01
#         TCAL=XX1:9.31, YY1:11.00
#         TCAL=XX2:9.18, YY2:10.14
# Calibrated spectra 
#                
#                
#Freq1(MHz)         XX1          YY1   Freq2(MHz)       XX2         YY2 
   1557.03430      26.8787      35.5712    1432.03430      20.3332      24.4434
   1557.01904      26.9309      35.2597    1432.01904      20.4185      24.5124
   1557.00378      27.7473      35.6741    1432.00378      20.5225      24.6305
   1556.98853      29.6880      36.9132    1431.98853      20.6082      24.7471
   1556.97327      30.2669      37.3786    1431.97327      20.7071      24.8569
   1556.95801      30.2991      37.5697    1431.95801      20.8002      24.9385
   1556.94275      30.1093      37.3671    1431.94275      20.9211      25.0395
   1556.92749      30.3276      37.7511    1431.92749      21.0229      25.1354
   1556.91223      30.3924      37.7531    1431.91223      21.1286      25.2229
   1556.89697      30.3305      37.8470    1431.89697      21.2366      25.3441
   1556.88171      30.3590      37.9253    1431.88171      21.3210      25.4559
   1556.86646      30.4191      38.1093    1431.86646      21.4079      25.5641
   1556.85120      29.5619      37.6415    1431.85120      21.5639      25.6824
   1556.83594      28.5088      37.0765    1431.83594      21.6950      25.8408
   1556.82068      28.3042      36.9995    1431.82068      21.7412      25.8863
   1556.80542      28.4485      37.1468    1431.80542      21.8734      26.0387
   1556.79016      28.5558      37.3439    1431.79016      21.9640      26.1128
   1556.77490      28.8563      37.5671    1431.77490      22.1086      26.1970
   1556.75964      29.0226      37.8367    1431.75964      22.2498      26.3457
   1556.74438      29.2082      37.9152    1431.74438      22.3280      26.4633
   1556.72913      29.3783      38.1982    1431.72913      22.4868      26.5629
   1556.71387      29.6824      38.7253    1431.71387      22.5530      26.6859
   1556.69861      29.9864      39.3156    1431.69861      22.7021      26.8037
   1556.68335      30.1863      39.6417    1431.68335      22.7918      26.8945
   1556.66809      30.3224      39.6495    1431.66809      22.9145      27.0019
   1556.65283      30.4310      39.8775    1431.65283      23.0717      27.1421
   1556.63757      30.4960      39.9543    1431.63757      23.1916      27.2338
   1556.62231      30.6487      40.0500    1431.62231      23.3153      27.3296
   1556.60706      30.7794      40.1963    1431.60706      23.4704      27.4593
   1556.59180      30.9711      39.9140    1431.59180      23.5872      27.5764
   1556.57654      31.7123      40.3649    1431.57654      23.6529      27.7022
   1556.56128      32.6224      41.0678    1431.56128      23.8631      27.8331
   1556.54602      33.0259      41.6245    1431.54602      23.9961      27.8923
   1556.53076      33.9315      42.3322    1431.53076      24.0912      28.0233
   1556.51550      37.5514      44.7725    1431.51550      24.2338      28.1469
   1556.50024      38.2583      45.2750    1431.50024      24.3910      28.2573
   1556.48499      38.4721      45.5584    1431.48499      24.5158      28.3630
   1556.46973      38.6548      45.5349    1431.46973      24.6129      28.4670
   1556.45447      39.1526      46.1806    1431.45447      24.7430      28.6204
   1556.43921      39.8734      46.4015    1431.43921      24.9224      28.7126
   1556.42395      37.1391      44.5760    1431.42395      25.0522      28.7974
   1556.40869      40.0115      46.7095    1431.40869      25.1981      28.9365
   1556.39343      45.9769      50.8819    1431.39343      25.2974      29.0206
   1556.37817      45.5537      50.7837    1431.37817      25.4583      29.1108
   1556.36292      45.5359      51.0597    1431.36292      25.5857      29.2630
   1556.34766      45.2165      50.6719    1431.34766      25.7719      29.3902
   1556.33240      45.5184      51.1529    1431.33240      25.8273      29.4520
   1556.31714      47.1389      51.6537    1431.31714      26.0088      29.5647
   1556.30188      61.2762      60.5092    1431.30188      26.1711      29.6878
   1556.28662     207.0024     148.4675    1431.28662      26.2808      29.7816
   1556.27136      49.3066      52.9033    1431.27136      26.4327      29.9046
   1556.25610      44.5389      49.8407    1431.25610      26.5173      29.9498
   1556.24084      39.8223      46.9374    1431.24084      26.6858      30.0846
   1556.22559      36.4017      44.8200    1431.22559      26.8305      30.1669
   1556.21033      38.6596      46.3271    1431.21033      27.0020      30.3011
   1556.19507      38.7787      46.4999    1431.19507      27.0929      30.3787
   1556.17981      36.9599      45.5248    1431.17981      27.2280      30.4648
   1556.16455      40.6832      48.0059    1431.16455      27.3608      30.5554
   1556.14929      42.5997      49.3342    1431.14929      27.5496      30.7446
   1556.13403      40.2447      47.8426    1431.13403      27.6347      30.8393
   1556.11877      37.2827      45.8989    1431.11877      27.7853      30.9010
   1556.10352      38.3033      46.5111    1431.10352      27.8973      30.9730
   1556.08826      38.4192      46.8608    1431.08826      28.0577      31.0831
   1556.07300      37.6768      46.5991    1431.07300      28.2593      31.1282
   1556.05774      38.6315      47.4193    1431.05774      28.3612      31.2554
   1556.04248      39.1729      47.8896    1431.04248      28.5003      31.3989
   1556.02722      39.4712      48.5755    1431.02722      28.5938      31.4685
   1556.01196      41.3912      50.7606    1431.01196      28.7449      31.5106
   1555.99670      67.5611      77.1986    1430.99670      28.9136      31.6814
   1555.98145     126.8793     134.1953    1430.98145      29.0392      31.7728
   1555.96619      93.3352     100.6991    1430.96619      29.1353      31.8554
   1555.95093      50.4377      58.6299    1430.95093      29.2743      31.9137
   1555.93567      75.1122      82.9412    1430.93567      29.4291      31.9863
   1555.92041     502.8249     494.1830    1430.92041      29.5879      32.0852
   1555.90515      89.0363      95.4429    1430.90515      29.6875      32.1639
   1555.88989      48.0580      56.0044    1430.88989      29.8208      32.2299
   1555.87463      43.8052      51.8298    1430.87463      29.9322      32.3137
   1555.85938      43.3276      51.4320    1430.85938      30.0950      32.4466
   1555.84412      44.7779      52.9461    1430.84412      30.2242      32.5039
   1555.82886      51.9884      59.8199    1430.82886      30.3000      32.5634
   1555.81360     189.0242     191.2022    1430.81360      30.4885      32.6337
   1555.79834     136.0527     141.0042    1430.79834      30.5701      32.7607
   1555.78308     166.4315     171.1430    1430.78308      30.7064      32.7934
   1555.76782      62.6023      70.6128    1430.76782      30.8657      32.8473
   1555.75256      47.6210      55.9725    1430.75256      30.9926      32.9776
   1555.73730      43.7707      52.0276    1430.73730      31.0615      32.9838
   1555.72205      42.8150      51.1473    1430.72205      31.1980      33.0954
   1555.70679      42.4894      50.9280    1430.70679      31.3099      33.1833
   1555.69153      42.3328      50.4840    1430.69153      31.4838      33.2178
   1555.67627      42.8800      50.8452    1430.67627      31.5695      33.3219
   1555.66101      42.7297      50.6727    1430.66101      31.6929      33.3549
   1555.64575      43.6659      51.1370    1430.64575      31.8556      33.4409
   1555.63049      43.0483      50.9052    1430.63049      31.9098      33.4772
   1555.61523      43.8823      51.9107    1430.61523      32.0274      33.5372
   1555.59998      54.2985      67.4237    1430.59998      32.1418      33.5969
   1555.58472      60.0911      68.3088    1430.58472      32.2790      33.6750
   1555.56946      50.1574      57.7349    1430.56946      32.4278      33.7624
   1555.55420     130.3188     134.7353    1430.55420      32.5686      33.7637
   1555.53894      73.0339      79.8130    1430.53894      32.6260      33.8859
   1555.52368     217.8208     219.4912    1430.52368      32.7025      33.9156
   1555.50842     320.2335     318.1897    1430.50842      32.8235      33.9635
   1555.49316     176.2439     177.9840    1430.49316      32.9534      34.0118
   1555.47791      62.2754      68.8347    1430.47791      33.0798      34.0713
   1555.46265      48.9863      56.2416    1430.46265      33.1936      34.1406
   1555.44739      46.7634      54.2971    1430.44739      33.2970      34.1568
   1555.43213      45.7701      53.5182    1430.43213      33.4411      34.2136
   1555.41687      45.2123      52.6376    1430.41687      33.5403      34.3134
   1555.40161      45.0771      52.6409    1430.40161      33.6356      34.3223
   1555.38635      44.8874      52.1288    1430.38635      33.7051      34.3754
   1555.37109      44.9346      52.0520    1430.37109      33.8767      34.4969
   1555.35583      44.8546      52.1194    1430.35583      33.9179      34.5028
   1555.34058      44.6561      51.5298    1430.34058      34.0805      34.5356
   1555.32532      44.6555      51.2920    1430.32532      34.1106      34.6056
   1555.31006      44.8124      51.3278    1430.31006      34.2456      34.5603
   1555.29480      44.8493      51.4160    1430.29480      34.3069      34.6090
   1555.27954      44.9368      51.3376    1430.27954      34.4644      34.7193
   1555.26428      45.0241      51.4737    1430.26428      34.5425      34.7395
   1555.24902      45.0960      51.4001    1430.24902      34.5945      34.7714
   1555.23376      45.2775      51.4794    1430.23376      34.6912      34.7668
   1555.21851      45.3838      51.6368    1430.21851      34.7685      34.8490
   1555.20325      45.5145      51.5936    1430.20325      34.9116      34.8130
   1555.18799      45.6862      51.8040    1430.18799      35.0160      34.9173
   1555.17273      45.7905      51.8614    1430.17273      35.0547      34.9072
   1555.15747      46.4066      53.0535    1430.15747      35.1685      34.9777
   1555.14221      47.4358      54.8966    1430.14221      35.2631      35.0085
   1555.12695      47.7695      55.5444    1430.12695      35.3884      35.0435
   1555.11169      48.0366      55.8764    1430.11169      35.4271      35.0634
   1555.09644      48.1252      55.8032    1430.09644      35.4479      35.0699
   1555.08118      48.3446      55.8861    1430.08118      35.5778      35.1282
   1555.06592      48.2974      55.9038    1430.06592      35.7186      35.1466
   1555.05066      48.4095      55.6267    1430.05066      35.8220      35.1941
   1555.03540      47.8150      54.2522    1430.03540      35.8860      35.2579
   1555.02014      47.1765      52.6875    1430.02014      35.9398      35.2458
   1555.00488      47.2364      52.6671    1430.00488      36.0341      35.2970
   1554.98962      47.5425      53.0557    1429.98962      36.1297      35.2867
   1554.97437      47.8428      53.2968    1429.97437      36.1381      35.3119
   1554.95911      48.2751      53.8099    1429.95911      36.2203      35.3822
   1554.94385      48.2525      53.7120    1429.94385      36.3345      35.3687
   1554.92859      48.8606      54.2474    1429.92859      36.4159      35.3971
   1554.91333      49.3442      54.6094    1429.91333      36.4956      35.4242
   1554.89807      60.6637      73.1949    1429.89807      36.5320      35.4267
   1554.88281      63.2879      67.5318    1429.88281      36.6887      35.4913
   1554.86755      90.2520      92.1674    1429.86755      36.7642      35.4227
   1554.85229     122.4726     122.1554    1429.85229      36.7451      35.4834
   1554.83704     144.2262     142.0541    1429.83704      36.8489      35.4909
   1554.82178     142.6222     140.0245    1429.82178      36.9195      35.5192
   1554.80652     140.2819     137.0320    1429.80652      37.0374      35.5915
   1554.79126     142.3668     138.1539    1429.79126      37.0754      35.5366
   1554.77600     143.2475     139.8673    1429.77600      37.1046      35.5512
   1554.76074     147.3872     143.1436    1429.76074      37.1944      35.5972
   1554.74548     143.0135     138.9230    1429.74548      37.3080      35.5813
   1554.73022     144.7672     140.3753    1429.73022      37.3700      35.6349
   1554.71497     141.5673     137.2742    1429.71497      37.4097      35.6214
   1554.69971     143.4719     137.9162    1429.69971      37.4578      35.6751
   1554.68445     150.4735     143.3006    1429.68445      37.5163      35.6234
   1554.66919     146.0789     140.2113    1429.66919      37.5758      35.6873
   1554.65393     148.6060     142.7260    1429.65393      37.6552      35.6339
   1554.63867     144.6204     138.8574    1429.63867      37.7968      35.6711
   1554.62341     143.6111     137.7501    1429.62341      37.8031      35.7002
   1554.60815     147.2380     139.8853    1429.60815      37.8690      35.7195
   1554.59290     152.2562     144.3814    1429.59290      37.9355      35.6946
   1554.57764     144.4065     137.1402    1429.57764      37.9616      35.7430
   1554.56238     138.3547     131.3464    1429.56238      37.9937      35.6884
   1554.54712     122.9287     117.8568    1429.54712      38.1103      35.8055
   1554.53186      93.2966      91.5822    1429.53186      38.1814      35.7635
   1554.51660      67.6063      68.4586    1429.51660      38.2562      35.7571
   1554.50134      58.4317      60.5858    1429.50134      38.2860      35.8163
   1554.48608      59.3757      61.3321    1429.48608      38.4001      35.8141
   1554.47083      61.7343      63.4142    1429.47083      38.3962      35.8190
   1554.45557      61.1714      62.6056    1429.45557      38.4827      35.7862
   1554.44031      61.7680      63.2756    1429.44031      38.5011      35.8441
   1554.42505      61.6770      62.9447    1429.42505      38.5311      35.8604
   1554.40979      62.1597      63.3104    1429.40979      38.5887      35.8784
   1554.39453      62.0536      63.1434    1429.39453      38.6883      35.8612
   1554.37927      62.2072      63.3439    1429.37927      38.7381      35.8787
   1554.36401      62.1195      63.0539    1429.36401      38.8159      35.8663
   1554.34875      61.9888      62.9668    1429.34875      38.8893      35.9067
   1554.33350      62.1742      63.1347    1429.33350      38.9046      35.8971
   1554.31824      62.8120      63.3699    1429.31824      38.9546      35.8965
   1554.30298      62.2928      62.9094    1429.30298      39.0715      35.8288
   1554.28772      62.8630      63.3145    1429.28772      39.0299      35.9325
   1554.27246      62.4380      62.7549    1429.27246      39.1236      35.9375
   1554.25720      62.7076      62.9401    1429.25720      39.1522      35.8979
   1554.24194      62.3599      62.4422    1429.24194      39.1888      35.9646
   1554.22668      63.2550      63.2329    1429.22668      39.2781      35.9201
   1554.21143      61.6347      61.7547    1429.21143      39.3228      35.9370
   1554.19617      59.3940      60.1717    1429.19617      39.3473      35.9712
   1554.18091      56.6290      58.3820    1429.18091      39.3760      35.9459
   1554.16565      55.6315      58.5253    1429.16565      39.4469      35.9692
   1554.15039      55.5066      59.1698    1429.15039      39.5295      35.9985
   1554.13513      55.9888      60.0157    1429.13513      39.6160      36.0043
   1554.11987      56.2933      60.7841    1429.11987      39.6376      36.0062
   1554.10461      56.1910      60.2436    1429.10461      39.6844      35.9969
   1554.08936      56.2089      60.0713    1429.08936      39.7136      36.0186
   1554.07410      56.3513      60.2798    1429.07410      39.7246      36.0101
   1554.05884      56.4092      60.6986    1429.05884      39.7793      36.0222
   1554.04358      56.4897      60.5233    1429.04358      39.8907      36.0782
   1554.02832      56.8547      61.2409    1429.02832      39.9106      36.0500
   1554.01306      56.6883      60.8373    1429.01306      39.9389      36.0683
   1553.99780      56.9902      61.1439    1428.99780      39.9399      36.1047
   1553.98254      56.9531      61.0790    1428.98254      39.9801      36.0708
   1553.96729      57.0133      60.9846    1428.96729      40.0940      36.1492
   1553.95203      56.7529      60.6179    1428.95203      40.1019      36.1051
